,Mã khách hàng,Total Days
0,CUZ00001,0.0
1,CUZ00002,0.0
2,CUZ00003,91.0
3,CUZ00004,0.0
4,CUZ00005,0.0
5,CUZ00006,0.0
6,CUZ00007,0.0
7,CUZ00008,0.0
8,CUZ00009,0.0
9,CUZ00010,0.0
10,CUZ00011,0.0
11,CUZ00012,266.0
12,CUZ00013,0.0
13,CUZ00014,0.0
14,CUZ00015,0.0
15,CUZ00016,0.0
16,CUZ00017,0.0
17,CUZ00018,0.0
18,CUZ00019,0.0
19,CUZ00020,0.0
20,CUZ00021,0.0
21,CUZ00022,0.0
22,CUZ00023,0.0
23,CUZ00024,83.0
24,CUZ00025,0.0
25,CUZ00026,0.0
26,CUZ00027,0.0
27,CUZ00028,0.0
28,CUZ00029,0.0
29,CUZ00030,0.0
30,CUZ00031,0.0
31,CUZ00032,0.0
32,CUZ00033,0.0
33,CUZ00034,0.0
34,CUZ00035,140.0
35,CUZ00036,0.0
36,CUZ00037,0.0
37,CUZ00038,0.0
38,CUZ00039,0.0
39,CUZ00040,0.0
40,CUZ00041,0.0
41,CUZ00042,353.0
42,CUZ00043,0.0
43,CUZ00044,0.0
44,CUZ00045,0.0
45,CUZ00046,0.0
46,CUZ00047,0.0
47,CUZ00048,0.0
48,CUZ00049,0.0
49,CUZ00050,0.0
50,CUZ00051,0.0
51,CUZ00052,0.0
52,CUZ00053,0.0
53,CUZ00054,0.0
54,CUZ00055,0.0
55,CUZ00056,0.0
56,CUZ00057,0.0
57,CUZ00058,0.0
58,CUZ00059,0.0
59,CUZ00060,0.0
60,CUZ00061,0.0
61,CUZ00062,0.0
62,CUZ00063,260.0
63,CUZ00064,0.0
64,CUZ00065,348.0
65,CUZ00066,0.0
66,CUZ00067,0.0
67,CUZ00068,0.0
68,CUZ00069,0.0
69,CUZ00070,168.0
70,CUZ00071,0.0
71,CUZ00072,31.0
72,CUZ00073,0.0
73,CUZ00074,0.0
74,CUZ00075,0.0
75,CUZ00076,0.0
76,CUZ00077,0.0
77,CUZ00078,0.0
78,CUZ00079,0.0
79,CUZ00080,0.0
80,CUZ00081,0.0
81,CUZ00082,0.0
82,CUZ00083,0.0
83,CUZ00084,0.0
84,CUZ00085,0.0
85,CUZ00086,0.0
86,CUZ00087,0.0
87,CUZ00088,0.0
88,CUZ00089,0.0
89,CUZ00090,0.0
90,CUZ00091,0.0
91,CUZ00092,0.0
92,CUZ00093,0.0
93,CUZ00094,0.0
94,CUZ00095,0.0
95,CUZ00096,0.0
96,CUZ00097,0.0
97,CUZ00098,0.0
98,CUZ00099,0.0
99,CUZ00100,0.0
100,CUZ00101,0.0
101,CUZ00102,0.0
102,CUZ00103,0.0
103,CUZ00104,0.0
104,CUZ00105,314.0
105,CUZ00106,75.0
106,CUZ00107,0.0
107,CUZ00108,0.0
108,CUZ00109,0.0
109,CUZ00110,0.0
110,CUZ00111,0.0
111,CUZ00112,187.0
112,CUZ00113,0.0
113,CUZ00114,0.0
114,CUZ00115,0.0
115,CUZ00116,0.0
116,CUZ00117,0.0
117,CUZ00118,0.0
118,CUZ00119,0.0
119,CUZ00120,0.0
120,CUZ00121,233.0
121,CUZ00122,0.0
122,CUZ00123,0.0
123,CUZ00124,0.0
124,CUZ00125,0.0
125,CUZ00126,0.0
126,CUZ00127,0.0
127,CUZ00128,0.0
128,CUZ00129,0.0
129,CUZ00130,0.0
130,CUZ00131,0.0
131,CUZ00132,0.0
132,CUZ00133,0.0
133,CUZ00134,0.0
134,CUZ00135,0.0
135,CUZ00136,0.0
136,CUZ00137,0.0
137,CUZ00138,0.0
138,CUZ00139,0.0
139,CUZ00140,0.0
140,CUZ00141,0.0
141,CUZ00142,0.0
142,CUZ00143,0.0
143,CUZ00144,0.0
144,CUZ00145,261.0
145,CUZ00146,0.0
146,CUZ00147,269.0
147,CUZ00148,0.0
148,CUZ00149,0.0
149,CUZ00150,0.0
150,CUZ00151,0.0
151,CUZ00152,0.0
152,CUZ00153,0.0
153,CUZ00154,0.0
154,CUZ00155,0.0
155,CUZ00156,0.0
156,CUZ00157,0.0
157,CUZ00158,0.0
158,CUZ00159,0.0
159,CUZ00160,0.0
160,CUZ00161,0.0
161,CUZ00162,0.0
162,CUZ00163,0.0
163,CUZ00164,0.0
164,CUZ00165,0.0
165,CUZ00166,0.0
166,CUZ00167,237.0
167,CUZ00168,0.0
168,CUZ00169,0.0
169,CUZ00170,0.0
170,CUZ00171,0.0
171,CUZ00172,131.0
172,CUZ00173,204.0
173,CUZ00174,0.0
174,CUZ00175,0.0
175,CUZ00176,0.0
176,CUZ00177,0.0
177,CUZ00178,0.0
178,CUZ00179,110.0
179,CUZ00180,0.0
180,CUZ00181,0.0
